buffer-size,fifo,lru,2Q,simplified2Q13,simplified2q12,simplified2q14
2500.0,0.401352,0.441594,0.536075,0.515318,0.493598,0.525031
5000.0,0.495457,0.538029,0.612606,0.596327,0.575622,0.604892
7500.0,0.559294,0.602019,0.661862,0.648278,0.628748,0.656813
10000.0,0.608585,0.65069,0.698774,0.688347,0.669664,0.696187
12500.0,0.64987,0.690908,0.72861,0.721087,0.703124,0.728292
15000.0,0.685635,0.725179,0.754344,0.748698,0.731599,0.755663
17500.0,0.717035,0.755035,0.776965,0.773046,0.756549,0.779588
20000.0,0.745517,0.781502,0.797106,0.79471,0.778814,0.800854
